subject,date,run,block,stimulus,nStim,stimID,noise,threshold,slope
eh,13/01/2025,1,5,texture,5,1,variable,0.00054042,5.02
eh,13/01/2025,1,6,grating,1,1,variable,0.01399748,1.45
eh,13/01/2025,1,7,texture,5,2,variable,0.00631197,1.24
eh,13/01/2025,1,8,grating,1,5,variable,0.00123192,3.95
eh,13/01/2025,1,9,texture,1,1,variable,0.03843102,1.95
eh,13/01/2025,1,10,grating,5,4,variable,0.0236055,0.77
eh,13/01/2025,1,11,grating,5,5,variable,0.04610928,1.2
eh,13/01/2025,1,12,texture,1,5,variable,0.06295227,2.96
eh,14/01/2025,2,1,grating,1,5,fixed,0.00065804,3.77
eh,14/01/2025,2,2,grating,5,5,fixed,0.00118592,2.86
eh,14/01/2025,2,3,texture,1,5,fixed,0.00094337,1.97
eh,14/01/2025,2,4,grating,5,3,fixed,0.00262235,2.09
eh,14/01/2025,2,5,texture,1,1,fixed,0.00091624,2.55
eh,14/01/2025,2,6,grating,1,2,fixed,0.00041789,3.64
eh,14/01/2025,2,7,texture,5,1,fixed,0.00049963,3.63
eh,14/01/2025,2,8,grating,1,1,fixed,0.00290158,4.7
eh,14/01/2025,2,9,grating,5,5,fixed,0.00076763,2.45
eh,14/01/2025,2,10,texture,5,4,fixed,0.0007838,3.02
eh,14/01/2025,2,11,texture,5,4,fixed,0.02267185,2.91
eh,14/01/2025,2,12,texture,1,2,fixed,0.00087901,2.24
kc,16/01/2025,1,1,grating,1,4,variable,0.00057221,4.47
kc,16/01/2025,1,2,grating,1,3,variable,0.00029002,2.94
kc,16/01/2025,1,3,texture,5,3,variable,0.00031,3.72
kc,16/01/2025,1,4,texture,1,4,variable,0.0005582,2.38
kc,16/01/2025,1,5,texture,5,5,variable,0.00040536,3.25
kc,16/01/2025,1,6,texture,1,3,variable,0.0002116,4
kc,16/01/2025,1,7,texture,5,5,variable,0.00062421,2.19
kc,16/01/2025,1,8,grating,5,1,variable,0.00010757,6.06
kc,16/01/2025,1,9,grating,5,5,variable,0.00024771,4.01
kc,16/01/2025,1,10,grating,1,5,variable,0.00068923,2.55
kc,16/01/2025,1,11,grating,5,4,variable,0.00029332,4
kc,16/01/2025,1,12,texture,1,5,variable,0.00241891,0.89
kc,17/07/2025,2,1,texture,5,5,fixed,0.00111651,2.21
kc,17/07/2025,2,2,grating,1,5,fixed,0.00024065,3.92
kc,17/07/2025,2,3,texture,1,1,fixed,0.00074529,1.71
kc,17/07/2025,2,4,grating,1,1,fixed,0.00042255,2.53
kc,17/07/2025,2,5,texture,1,2,fixed,0.00013402,5.22
kc,17/07/2025,2,6,texture,5,4,fixed,0.00038316,2.58
kc,17/07/2025,2,7,grating,5,5,fixed,0.00011624,5.59
kc,17/07/2025,2,8,grating,5,1,fixed,0.00043498,3.24
kc,17/07/2025,2,9,grating,5,5,fixed,0.00015264,4.33
kc,17/07/2025,2,10,texture,1,5,fixed,0.0005414,2.37
kc,17/07/2025,2,11,grating,1,2,fixed,0.00017105,5.59
kc,17/07/2025,2,12,texture,5,5,fixed,0.00077762,1.7
lp,16/01/2025,1,1,grating,5,3,fixed,0.0006365,2.49
lp,16/01/2025,1,2,grating,1,3,fixed,0.00048755,2.64
lp,16/01/2025,1,3,texture,1,5,fixed,0.00033541,3.47
lp,16/01/2025,1,4,grating,5,5,fixed,0.0002636,4.36
lp,16/01/2025,1,5,texture,1,4,fixed,0.00033685,3.61
lp,16/01/2025,1,6,grating,1,5,fixed,0.00081161,2.57
lp,16/01/2025,1,7,texture,5,3,fixed,0.00057098,2.98
lp,16/01/2025,1,8,texture,1,3,fixed,0.00036052,4.61
lp,16/01/2025,1,9,grating,5,5,fixed,0.00023372,5.05
lp,16/01/2025,1,10,texture,5,4,fixed,0.00072703,3.5
lp,16/01/2025,1,11,texture,5,2,fixed,0.00047998,3.3
lp,16/01/2025,1,12,grating,1,4,fixed,0.00046665,2.61
lp,17/01/2025,2,1,texture,5,1,variable,0.00042291,3.02
lp,17/01/2025,2,2,grating,1,4,variable,0.00033058,3.86
lp,17/01/2025,2,3,texture,5,4,variable,0.00033244,3.72
lp,17/01/2025,2,4,grating,1,1,variable,0.00045029,2.22
lp,17/01/2025,2,5,texture,1,4,variable,0.00024167,4.78
lp,17/01/2025,2,6,texture,1,1,variable,0.00064835,2.29
lp,17/01/2025,2,7,grating,5,2,variable,0.00032229,3.94
lp,17/01/2025,2,8,grating,5,4,variable,0.00043493,4.62
lp,17/01/2025,2,9,texture,1,5,variable,0.0002627,3.53
lp,17/01/2025,2,10,texture,5,5,variable,0.00064835,2.31
lp,17/01/2025,2,11,grating,1,5,variable,0.0005422,3.22
lp,17/01/2025,2,12,grating,5,5,variable,0.00067365,2.38
na,17/01/2025,2,1,grating,1,2,variable,0.00029936,3.32
na,17/01/2025,2,2,texture,5,1,variable,0.00012985,5.63
na,17/01/2025,2,3,texture,1,2,variable,0.00039133,3.03
na,17/01/2025,2,4,grating,1,4,variable,0.00011469,4.72
na,17/01/2025,2,5,grating,5,1,variable,0.00032784,3.11
na,17/01/2025,2,6,grating,1,5,variable,0.00087803,2.64
na,17/01/2025,2,7,grating,5,3,variable,0.00013495,4.47
na,17/01/2025,2,8,texture,5,3,variable,0.0005509,1.97
na,17/01/2025,2,9,texture,5,2,variable,0.00177571,3.58
na,17/01/2025,2,10,grating,5,1,variable,0.0132238,1.32
na,17/01/2025,2,11,texture,1,4,variable,0.01953713,1.13
na,17/01/2025,2,12,texture,1,5,variable,0.00731079,2.07
na,16/01/2025,1,1,grating,1,5,fixed,0.00056872,2.48
na,16/01/2025,1,2,grating,5,3,fixed,0.00071479,3.02
na,16/01/2025,1,3,texture,1,4,fixed,0.00128979,1.53
