subject,date,run,block,stimulus,nStim,stimID,noise,threshold,slope
jc,30/01/2025,2,12,grating,1,2,fixed,0.00038271,4.16
jc,29/01/2025,1,1,texture,1,1,variable,0.00033968,3.71
jc,29/01/2025,1,2,texture,5,all,variable,0.00117721,1.4
jc,29/01/2025,1,3,grating,5,all,variable,0.00034166,3.51
jc,29/01/2025,1,4,grating,1,1,variable,0.00028804,3.23
jc,29/01/2025,1,5,texture,1,3,variable,0.00019855,4.78
jc,29/01/2025,1,6,grating,5,all,variable,0.00034607,2.76
jc,29/01/2025,1,7,grating,1,2,variable,0.00038977,3.24
jc,29/01/2025,1,8,texture,1,2,variable,0.00025086,3.93
jc,29/01/2025,1,9,texture,5,all,variable,0.0003934,3.2
jc,29/01/2025,1,10,grating,5,all,variable,0.00029713,4.6
jc,29/01/2025,1,11,texture,5,all,variable,0.00046817,3.02
jc,29/01/2025,1,12,grating,1,3,variable,0.00026894,2.76
cw,12/02/2025,1,1,grating,5,all,variable,0.00015573,4.25
cw,12/02/2025,1,2,grating,1,1,variable,0.00061395,2.78
cw,12/02/2025,1,3,grating,1,3,variable,0.00033836,3.21
cw,12/02/2025,1,4,texture,5,all,variable,0.02079707,2.03
cw,12/02/2025,1,5,texture,1,3,variable,0.00037884,3.28
cw,12/02/2025,1,6,texture,1,1,variable,0.0004495,3.77
cw,12/02/2025,1,7,grating,5,all,variable,0.00031844,4.02
cw,12/02/2025,1,8,texture,5,all,variable,0.00043318,3.19
cw,12/02/2025,1,9,texture,1,4,variable,0.00052846,2.83
cw,12/02/2025,1,10,texture,5,all,variable,0.00021493,6.1
cw,12/02/2025,1,11,grating,5,all,variable,0.00016221,5.97
cw,12/02/2025,1,12,grating,1,4,variable,0.00036166,2.72
cw,13/02/2025,2,1,grating,5,all,fixed,0.00123167,1.68
cw,13/02/2025,2,2,texture,1,5,fixed,0.00033004,3.48
cw,13/02/2025,2,3,texture,5,all,fixed,0.0002083,4.92
cw,13/02/2025,2,4,grating,1,4,fixed,0.00262962,0.9
cw,13/02/2025,2,5,texture,1,4,fixed,0.00105681,3.19
cw,13/02/2025,2,6,grating,1,5,fixed,0.00015041,4
cw,13/02/2025,2,7,grating,1,2,fixed,0.00024981,3.78
cw,13/02/2025,2,8,texture,1,2,fixed,0.00025786,3.25
cw,13/02/2025,2,9,grating,5,all,fixed,0.00035976,2.9
cw,13/02/2025,2,10,texture,5,all,fixed,0.00035925,3.49
cw,13/02/2025,2,11,grating,5,all,fixed,0.00125614,2.08
cw,13/02/2025,2,12,texture,5,all,fixed,0.00052418,3.52
mr,12/02/2025,1,1,grating,1,4,fixed,0.00065855,2.36
mr,12/02/2025,1,2,grating,1,5,fixed,0.00100425,2.65
mr,12/02/2025,1,3,texture,1,4,fixed,0.0014183,2.07
mr,12/02/2025,1,4,texture,5,all,fixed,0.00039514,5.37
mr,12/02/2025,1,5,grating,5,all,fixed,0.00016628,5.84
